City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vigrestad,NO,58.5667,5.7,45.97,72,40,11.14,scattered clouds
80,Lorengau,PG,-2.0226,147.2712,83.89,76,35,6.49,scattered clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,72.18,71,0,7.38,clear sky
82,Taltal,CL,-25.4,-70.4833,61.11,82,4,4.7,clear sky
83,Capitan Miranda,PY,-27.2,-55.8,65.25,95,8,1.86,clear sky
84,Hambantota,LK,6.1241,81.1185,75.54,100,20,1.14,few clouds
85,Pevek,RU,69.7008,170.3133,12.06,83,28,2.59,scattered clouds
86,Port Alfred,ZA,-33.5906,26.891,60.19,94,47,1.99,scattered clouds
87,Livingston,GB,55.9029,-3.5226,50.27,83,40,5.75,scattered clouds
88,Khatanga,RU,71.9667,102.5,7.77,93,92,14.45,overcast clouds
89,Groton,US,41.3501,-72.0784,44.74,54,0,1.99,clear sky
90,Kodiak,US,57.79,-152.4072,39.02,65,42,10.65,scattered clouds
91,Carnarvon,AU,-24.8667,113.6333,69.87,78,92,13.8,overcast clouds
92,Tasiilaq,GL,65.6145,-37.6368,31.51,95,100,8.3,overcast clouds
93,Yerbogachen,RU,61.2767,108.0108,35.49,73,84,13.96,broken clouds
94,Padang,ID,-0.9492,100.3543,75.25,84,100,2.59,light rain
95,Kadaya,RU,50.9327,119.2911,53.28,41,99,9.84,overcast clouds
96,Geraldton,AU,-28.7667,114.6,70.21,46,0,17.27,clear sky
97,High Level,CA,58.5169,-117.136,17.71,67,100,11.5,light snow
98,Dikson,RU,73.5069,80.5464,0.95,98,100,1.63,overcast clouds
99,Saint-Cesaire,CA,45.4168,-72.9991,41.25,75,7,1.14,clear sky
100,Ondangwa,NA,-17.9167,15.95,71.58,66,39,7.47,scattered clouds
101,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,73,88,12.3,overcast clouds
102,Nanortalik,GL,60.1432,-45.2371,29.41,89,45,9.91,scattered clouds
103,Bayan,CN,46.0833,127.4,50.92,20,14,8.88,few clouds
104,Faanui,PF,-16.4833,-151.75,81.07,72,5,10.49,clear sky
105,Menongue,AO,-14.6585,17.691,60.98,96,19,3.06,few clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,63.09,91,0,10.0,clear sky
107,Lincoln,US,40.8,-96.667,40.89,79,68,7.0,broken clouds
108,San Cristobal,VE,7.7669,-72.225,69.98,96,99,3.13,overcast clouds
